line,hyp.length,plate,chamber,light
SSS3,4.99,35,LED,shade
SSS3,4.146,35,LED,shade
SSS1,3.796,49,LED,sun
SSS1,5.314,49,LED,sun
SSS1,3.642,49,LED,sun
SSS1,3.613,49,LED,sun
SSS1,3.986,49,LED,sun
SSS1,3.848,49,LED,sun
SSS1,3.421,49,LED,sun
SSS1,2.719,49,LED,sun
SSS1,4.256,49,LED,sun
SSS1,3.686,49,LED,sun
SSS1,4.084,49,LED,sun
SSS1,3.537,49,LED,sun
SSS1,3.878,49,LED,sun
SSS1,4.673,49,LED,sun
SSS1,3.897,49,LED,sun
SSS1,4.113,49,LED,sun
SSS1,4.808,49,LED,sun
SSS1,4.704,49,LED,sun
SSS1,4.199,49,LED,sun
SSS1,3.509,49,LED,sun
SSS1,3.156,49,LED,sun
SSS1,3.472,49,LED,sun
SSS1,3.516,49,LED,sun
BBS4,4.689,30,LED,shade
BBS4,5.594,30,LED,shade
BBS4,3.864,30,LED,shade
BBS4,5.538,30,LED,shade
BBS4,5.844,30,LED,shade
BBS4,4.996,30,LED,shade
BBS4,5.541,30,LED,shade
BBS4,4.707,30,LED,shade
BBS4,5.649,30,LED,shade
BBS4,3.022,30,LED,shade
BBS4,3.367,30,LED,shade
BBS4,5.005,30,LED,shade
BBS4,4.852,30,LED,shade
BBS4,5.46,30,LED,shade
BBS4,6.639,30,LED,shade
BBS4,3.884,30,LED,shade
BBS1,5.642,50,LED,sun
BBS1,4.633,50,LED,sun
BBS1,5.581,50,LED,sun
BBS1,4.672,50,LED,sun
BBS1,6.418,50,LED,sun
BBS1,3.78,50,LED,sun
BBS1,5.639,50,LED,sun
BBS1,4.883,50,LED,sun
BBS1,5.519,50,LED,sun
BBS1,5.159,50,LED,sun
BBS1,4.99,50,LED,sun
BBS1,4.146,50,LED,sun
BBS1,2.098,50,LED,sun
BBS1,2.038,50,LED,sun
BBS1,2.637,50,LED,sun
BBS1,2.039,50,LED,sun
BBS1,2.18,50,LED,sun
BBS1,4.986,50,LED,sun
BBS1,2.094,50,LED,sun
BBS1,2.443,50,LED,sun
BBS1,4.578,50,LED,sun
BBS1,4.808,50,LED,sun
BBS1,3.833,50,LED,sun
BBS1,3.466,50,LED,sun
BBS1,3.526,50,LED,sun
BBS1,4.286,50,LED,sun
BBS1,6.993,50,LED,sun
BBS1,3.438,50,LED,sun
BBS1,6.732,50,LED,sun
BBS1,3.491,50,LED,sun
BBS1,5.558,50,LED,sun
BBS1,4.38,50,LED,sun
BBS1,3.222,50,LED,sun
BBS1,5.434,50,LED,sun
BBS1,4.892,50,LED,sun
BBS1,3.59,50,LED,sun
BBS1,4.663,50,LED,sun
BBS1,2.924,50,LED,sun
BBS1,4.131,50,LED,sun
BBS1,3.566,50,LED,sun
SSS1,4.039,28,LED,shade
SSS1,3.744,28,LED,shade
SSS1,4.07,28,LED,shade
SSS1,4.566,28,LED,shade
SSS1,4.165,28,LED,shade
SSS1,5.132,28,LED,shade
SSS1,4.454,28,LED,shade
SSS1,3.474,28,LED,shade
SSS1,4.739,28,LED,shade
SSS1,4.218,28,LED,shade
SSS1,3.798,28,LED,shade
SSS1,5.33,28,LED,shade
SSS1,4.42,28,LED,shade
SSS1,4.858,28,LED,shade
SSS1,3.719,28,LED,shade
SSS1,3.771,28,LED,shade
BBS1,3.982,55,LED,sun
BBS1,3.201,55,LED,sun
BBS1,4.316,55,LED,sun
BBS1,2.652,55,LED,sun
BBS1,2.902,55,LED,sun
BBS1,3.1,55,LED,sun
BBS1,3.73,55,LED,sun
BBS1,3.902,55,LED,sun
BBS1,2.549,55,LED,sun
BBS1,2.864,55,LED,sun
BBS1,4.51,55,LED,sun
BBS1,2.693,55,LED,sun
BBS1,3.098,55,LED,sun
BBS1,3.429,55,LED,sun
BBS1,4.413,55,LED,sun
BBS1,3.576,55,LED,sun
BBS1,4.86,55,LED,sun
BBS1,4.185,55,LED,sun
BBS4,2.62,53,LED,sun
BBS4,3.953,53,LED,sun
BBS4,4.796,53,LED,sun
BBS4,3.027,53,LED,sun
BBS4,3.532,53,LED,sun
BBS4,3.092,53,LED,sun
BBS4,5.802,53,LED,sun
BBS4,4.607,53,LED,sun
BBS4,5.594,53,LED,sun
BBS4,4.996,53,LED,sun
BBS4,4.76,53,LED,sun
BBS4,4.566,53,LED,sun
BBS4,2.033,53,LED,sun
BBS4,3.155,53,LED,sun
BBS4,6.214,53,LED,sun
BBS4,4.706,53,LED,sun
SSS2,4.498,41,LED,shade
SSS2,3.666,41,LED,shade
SSS2,4.219,41,LED,shade
SSS2,2.981,41,LED,shade
SSS2,3.661,41,LED,shade
SSS2,4.623,41,LED,shade
SSS2,4.024,41,LED,shade
SSS2,4.165,41,LED,shade
SSS2,4.566,41,LED,shade
SSS2,4.46,41,LED,shade
SSS2,4.819,41,LED,shade
SSS2,3.953,41,LED,shade
SSS2,2.812,41,LED,shade
SSS2,3.69,41,LED,shade
SSS2,5.151,41,LED,shade
SSS2,4.266,41,LED,shade
SSS2,3.231,41,LED,shade
SSS2,3.302,41,LED,shade
elf3.1,1.886,C8,LED,sun
elf3.1,4.744,C8,LED,sun
elf3.1,4.603,C8,LED,sun
elf3.1,2.823,C8,LED,sun
elf3.1,4.383,C8,LED,sun
elf3.1,4.172,C8,LED,sun
elf3.1,4.467,C8,LED,sun
elf3.1,2.69,C8,LED,sun
elf3.1,3.41,C8,LED,sun
elf3.1,3.04,C8,LED,sun
elf3.1,4.377,C8,LED,sun
elf3.1,3.358,C8,LED,sun
elf3.1,5.905,C8,LED,sun
elf3.1,4.399,C8,LED,sun
elf3.1,2.407,C8,LED,sun
elf3.1,4.307,C8,LED,sun
elf3.1,5.268,C8,LED,sun
elf3.1,4.46,C8,LED,sun
elf3.1,3.602,C8,LED,sun
elf3.1,6.582,C8,LED,sun
elf3.1,3.491,C8,LED,sun
bay,1.953,C8,LED,sun
bay,1.785,C8,LED,sun
bay,2.217,C8,LED,sun
bay,4.22,C8,LED,sun
bay,2.631,C8,LED,sun
bay,2.934,C8,LED,sun
bay,2.719,C8,LED,sun
bay,2.476,C8,LED,sun
bay,3.034,C8,LED,sun
bay,1.83,C8,LED,sun
bay,2.029,C8,LED,sun
bay,2.312,C8,LED,sun
bay,3.451,C8,LED,sun
bay,2.189,C8,LED,sun
bay,1.796,C8,LED,sun
bay,2.2,C8,LED,sun
bay,3.782,C8,LED,sun
elf3.1,5.989,C4,LED,shade
elf3.1,7.173,C4,LED,shade
elf3.1,4.938,C4,LED,shade
elf3.1,7.113,C4,LED,shade
elf3.1,4.024,C4,LED,shade
elf3.1,5.981,C4,LED,shade
elf3.1,6.635,C4,LED,shade
elf3.1,5.991,C4,LED,shade
elf3.1,5.839,C4,LED,shade
elf3.1,7.109,C4,LED,shade
elf3.1,6.104,C4,LED,shade
elf3.1,7.318,C4,LED,shade
elf3.1,6.841,C4,LED,shade
elf3.1,7.638,C4,LED,shade
elf3.1,6.438,C4,LED,shade
elf3.1,7.311,C4,LED,shade
elf3.1,5.876,C4,LED,shade
elf3.1,7.493,C4,LED,shade
elf3.1,6.459,C4,LED,shade
elf3.1,5.707,C4,LED,shade
bay,5.425,C4,LED,shade
bay,4.62,C4,LED,shade
bay,4.42,C4,LED,shade
bay,2.525,C4,LED,shade
bay,4.907,C4,LED,shade
bay,5.641,C4,LED,shade
bay,5.652,C4,LED,shade
bay,5.317,C4,LED,shade
bay,4.274,C4,LED,shade
bay,4.578,C4,LED,shade
bay,5.057,C4,LED,shade
bay,4.121,C4,LED,shade
bay,5.328,C4,LED,shade
bay,4.015,C4,LED,shade
bay,4.855,C4,LED,shade
bay,5.931,C4,LED,shade
bay,5.011,C4,LED,shade
BBB1,3.594,33,LED,shade
BBB1,4.523,33,LED,shade
BBB1,3.766,33,LED,shade
BBB1,5.622,33,LED,shade
BBB1,5.633,33,LED,shade
BBB1,3.862,33,LED,shade
BBB1,5.293,33,LED,shade
BBB1,5.246,33,LED,shade
BBB1,4.385,33,LED,shade
BBB1,4.043,33,LED,shade
BBB1,3.329,33,LED,shade
BBB1,3.424,33,LED,shade
BBB1,3.949,33,LED,shade
BBB1,4.699,33,LED,shade
BBB1,5.971,33,LED,shade
BBB1,4.396,33,LED,shade
BBB1,3.084,33,LED,shade
BSB2,3.163,67,LED,sun
BSB2,3.798,67,LED,sun
BSB2,2.24,67,LED,sun
BSB2,2.112,67,LED,sun
BSB2,2.655,67,LED,sun
BSB2,2.072,67,LED,sun
SSS2,2.835,65,LED,sun
SSS2,3.429,65,LED,sun
SSS2,2.612,65,LED,sun
SSS2,3.136,65,LED,sun
SSS2,4.059,65,LED,sun
SSS2,3.878,65,LED,sun
SSS2,3.512,65,LED,sun
SSS2,2.826,65,LED,sun
SSS2,3.872,65,LED,sun
SSS2,2.266,65,LED,sun
SSS2,4.302,65,LED,sun
SSS2,3.865,65,LED,sun
SSS2,2.215,65,LED,sun
SSS2,3.121,65,LED,sun
SSS2,2.748,65,LED,sun
SSS2,2.65,65,LED,sun
SSS2,2.279,65,LED,sun
SSS2,2.42,65,LED,sun
BBS3,3.755,63,LED,sun
BBS3,4.51,63,LED,sun
BBS3,2.996,63,LED,sun
BBS3,3.334,63,LED,sun
BBS3,3.562,63,LED,sun
BBS3,4.251,63,LED,sun
BBS3,2.789,63,LED,sun
BBS3,3.214,63,LED,sun
BBS3,2.549,63,LED,sun
BBS3,3.031,63,LED,sun
BBS3,4.204,63,LED,sun
BBS3,3.745,63,LED,sun
BBS3,4.548,63,LED,sun
BBS3,4.592,63,LED,sun
BBS3,3.164,63,LED,sun
BBS4,4.858,61,LED,sun
BBS4,5.364,61,LED,sun
BBS4,4.182,61,LED,sun
BBS4,5.324,61,LED,sun
BBS4,6.448,61,LED,sun
BBS4,5.633,61,LED,sun
BBS4,5.387,61,LED,sun
BBS4,3.493,61,LED,sun
BBS4,5.003,61,LED,sun
BBS4,4.093,61,LED,sun
BBS4,4.694,61,LED,sun
BBS4,3.872,61,LED,sun
BBS4,4.423,61,LED,sun
BSB2,2.288,40,LED,shade
BSB2,1.892,40,LED,shade
BSB2,5.141,40,LED,shade
BBB2,3.335,62,LED,sun
BBB2,2.391,62,LED,sun
BBB2,2.1,62,LED,sun
BBB2,2.624,62,LED,sun
BBB2,4.011,62,LED,sun
BBB2,6.173,62,LED,sun
BBB2,3.229,62,LED,sun
BBB2,3.011,62,LED,sun
BBB2,3.964,62,LED,sun
BBB2,2.751,62,LED,sun
BBB2,2.389,62,LED,sun
BBB2,3.684,62,LED,sun
BBB3,3.572,39,LED,shade
BBB3,4.581,39,LED,shade
BBB3,3.451,39,LED,shade
BBB3,5.065,39,LED,shade
BBB3,5.016,39,LED,shade
BBB3,3.924,39,LED,shade
BBB3,4.516,39,LED,shade
BBB3,3.444,39,LED,shade
BBB3,5.18,39,LED,shade
BBB3,4.199,39,LED,shade
BBB3,4.346,39,LED,shade
BBB3,4.614,39,LED,shade
BBB3,3.847,39,LED,shade
BBB3,4.041,39,LED,shade
BBS2,4.734,27,LED,shade
BBS2,4.259,27,LED,shade
BBS2,4.971,27,LED,shade
BBS2,5.276,27,LED,shade
BBS2,3.394,27,LED,shade
BBS2,4.382,27,LED,shade
BBS2,4.044,27,LED,shade
BBS2,5.355,27,LED,shade
BBS2,4.189,27,LED,shade
BBS2,4.444,27,LED,shade
BBS2,5.447,27,LED,shade
BBS2,3.619,27,LED,shade
BBS2,4.184,27,LED,shade
BBS2,4.901,27,LED,shade
BBS1,4.459,48,LED,shade
BBS1,5.231,48,LED,shade
BBS1,5.67,48,LED,shade
BBS1,5.288,48,LED,shade
BBS1,4.283,48,LED,shade
BBS1,4.424,48,LED,shade
BBS1,5.325,48,LED,shade
BBS1,5.665,48,LED,shade
BBS1,5.01,48,LED,shade
BBS2,4.093,51,LED,sun
BBS2,2.677,51,LED,sun
BBS2,3.376,51,LED,sun
BBS2,5.556,51,LED,sun
BBS2,3.542,51,LED,sun
BBS2,2.658,51,LED,sun
BBS2,4.01,51,LED,sun
BBS2,3.154,51,LED,sun
BBS2,3.086,51,LED,sun
BBS2,2.756,51,LED,sun
BBS2,3.058,51,LED,sun
BBB2,2.551,43,LED,shade
BBB2,4.528,43,LED,shade
BBB2,2.548,43,LED,shade
BBB2,4.346,43,LED,shade
BBB2,4.426,43,LED,shade
BBB2,4.297,43,LED,shade
BBB2,4.148,43,LED,shade
BBB2,3.817,43,LED,shade
BBB2,4.325,43,LED,shade
BBB2,4.853,43,LED,shade
BBB2,2.968,43,LED,shade
BBB2,3.95,43,LED,shade
